,temp_media,temp_5,temp_95
0,22.102497,21.931868,22.24165
1,22.110868,21.934437,22.26111
2,22.109186,21.95311,22.250362
3,22.098366,21.939783,22.242058
4,22.093231,21.914751,22.239471
5,22.065287,21.855394,22.239737
6,22.18076,22.028084,22.327747
7,22.186394,22.037836,22.326626
8,22.200289,22.023388,22.357208
9,22.20802,22.05221,22.36083
10,22.224237,22.072973,22.360334
11,22.240686,22.102594,22.382698
12,22.247112,22.1036,22.39617
13,22.296913,22.065687,22.619696
14,22.428978,22.080477,23.424446
15,22.707516,22.053776,24.031588
16,22.971233,22.036171,24.140053
17,23.236176,22.024586,24.25977
18,23.564495,22.118607,24.485968
19,23.810644,22.505623,24.540974
20,23.898561,22.940878,24.55647
21,23.818497,22.403362,24.523893
22,23.73899,22.271013,24.540802
23,23.482393,22.260813,24.545515
24,23.254622,22.287802,24.409708
25,22.98614,22.272583,24.29562
26,22.746325,22.262402,24.233244
27,22.591549,22.283484,23.664904
28,22.47266,22.238722,22.685703
29,22.435764,22.214548,22.619913
30,22.426977,22.232574,22.590693
31,22.421104,22.216112,22.570248
32,22.443632,22.236397,22.616251
33,22.423256,22.1582,22.62816
34,22.46784,22.23105,22.6489
35,22.47473,22.247248,22.65363
36,22.480675,22.25843,22.671656
37,22.492048,22.25141,22.667503
38,22.495384,22.237106,22.682686
39,22.504808,22.268398,22.690357
40,22.579967,22.243408,22.797222
41,22.584038,22.30334,22.785776
42,22.582357,22.288729,22.772644
43,22.59192,22.321268,22.786852
44,22.606007,22.327795,22.783201
45,22.62187,22.335068,22.816765
46,22.643656,22.357506,22.865719
47,22.660763,22.34483,22.907417
48,22.697178,22.324423,22.965162
49,22.84214,22.36832,23.950909
50,23.148455,22.43967,24.498377
51,23.268217,22.338213,24.536947
52,23.46419,22.421242,24.60116
53,23.693827,22.526432,24.645779
54,23.821712,22.754839,24.632235
55,23.869293,23.014832,24.635445
56,23.821774,23.021961,24.54796
57,23.772982,23.05287,24.464748
58,23.7213,23.033592,24.327787
59,23.616028,22.666597,24.248438
60,23.558655,22.637934,24.184195
61,23.478943,22.654232,24.131727
62,23.372265,22.689583,24.103975
63,23.236555,22.676872,24.003036
64,23.114763,22.647427,23.929949
65,23.046194,22.670755,23.898527
66,23.001612,22.673206,23.836643
67,22.878506,22.620817,23.086046
68,22.836832,22.58196,23.05617
69,22.83946,22.595797,23.051506
70,22.84621,22.596567,23.058842
71,22.866226,22.603027,23.096823
72,22.910105,22.624002,23.296856
73,23.011227,22.683546,23.67279
74,22.870966,22.556738,23.151592
75,23.165522,22.723028,24.122326
76,23.272673,22.654505,24.303585
77,23.4271,22.64713,24.370705
78,23.589628,22.691816,24.41689
79,23.730198,22.702017,24.449959
80,23.891975,22.717493,24.482565
81,23.923246,22.769222,24.508747
82,23.938305,23.334904,24.514269
83,23.91161,23.367085,24.44531
84,23.814905,23.175179,24.392466
85,23.719896,23.152895,24.204357
86,23.657373,23.146759,24.125013
87,23.61206,23.054607,24.090134
88,23.539612,22.97267,24.080315
89,23.476896,22.969915,24.035223
90,23.441383,22.946812,24.052546
91,23.379827,22.945473,23.988968
92,23.335766,22.93683,23.962528
93,23.29807,22.930983,23.851633
94,23.247772,22.930746,23.585394
95,23.215525,22.94125,23.454092
96,23.196478,22.91703,23.430838
97,23.202356,22.891779,23.447515
98,23.22166,22.896372,23.484674
99,23.247665,22.908224,23.517237
100,23.276577,22.913235,23.554138
101,23.335651,23.00161,23.598942
102,23.412119,23.026527,23.705988
103,23.41751,23.03289,23.706074
104,23.421667,23.0628,23.702108
105,23.428905,23.075039,23.714941
106,23.436983,23.053347,23.740698
107,23.442324,23.058207,23.746864
108,23.450289,23.061804,23.75511
109,23.401007,23.000355,23.699907
110,23.40409,22.999321,23.689253
111,23.40671,23.004263,23.704954
112,23.408834,22.99382,23.717148
113,23.427605,22.994284,23.73819
114,23.385742,22.955761,23.704256
115,23.420439,23.001328,23.722956
116,23.419828,23.005112,23.70622
117,23.426113,23.045992,23.71437
118,23.44889,23.047592,23.740427
119,23.473232,23.063944,23.761082
120,23.498278,23.045568,23.79586
121,23.54972,23.067957,23.910221
122,23.626247,23.195232,24.040163
123,23.684277,23.256748,24.241314
124,23.770155,23.308712,24.630901
125,23.889244,23.327862,24.815279
126,24.012257,23.270226,25.053713
127,24.12405,23.221582,25.162157
128,24.164703,23.187998,25.230547
129,24.254976,23.133804,25.260818
130,24.22137,23.101627,25.245232
131,24.201103,23.097067,25.2459
132,24.123466,23.06997,25.17614
133,24.012346,23.100529,25.097256
134,23.917156,23.195263,24.962143
135,23.654533,23.213694,23.978655
136,23.705994,23.311544,24.116667
137,23.687675,23.290436,24.0392
138,23.663378,23.287245,23.965181
139,23.639181,23.248846,23.955124
140,23.635752,23.219822,23.945648
141,23.63905,23.19357,23.954563
142,23.69837,23.309563,23.985903
143,23.695442,23.2455,24.05609
144,23.77666,23.367472,24.087368
145,23.780752,23.36546,24.114344
146,23.792841,23.365747,24.106184
147,23.853395,23.447071,24.155981
148,23.869564,23.442032,24.208372
149,23.913635,23.452286,24.31675
150,23.935974,23.415092,24.380972
151,23.994713,23.429148,24.529877
152,24.031067,23.45527,24.580109
153,24.060717,23.507784,24.614279
154,24.101816,23.580055,24.650017
155,24.142487,23.633343,24.590677
156,24.154816,23.588467,24.652414
157,24.148829,23.595072,24.574095
158,24.126097,23.577871,24.48392
159,24.09879,23.576254,24.485256
160,24.022635,23.543158,24.428488
161,23.972391,23.528683,24.356201
162,23.961065,23.499004,24.281723
163,23.93909,23.501322,24.229086
164,23.917753,23.49292,24.204536
165,23.934893,23.498842,24.24101
166,23.967718,23.526346,24.287754
167,24.001894,23.535265,24.322905
168,24.031616,23.580318,24.349134
169,24.056162,23.642958,24.356438
170,24.118483,23.720905,24.39754
